CustomerID,Lookalikes
C0001,"[('C0069', 0.9793686796401265), ('C0154', 0.9771774426753639), ('C0181', 0.9663842086022488)]"
C0002,"[('C0029', 0.9998668269037813), ('C0088', 0.9904877413996859), ('C0062', 0.9897885495082783)]"
C0003,"[('C0038', 0.997287341359637), ('C0160', 0.9719308878893113), ('C0189', 0.969906365342914)]"
C0004,"[('C0075', 0.9899044859613366), ('C0165', 0.9843627282453056), ('C0175', 0.982884729505872)]"
C0005,"[('C0192', 0.9974346831629687), ('C0140', 0.9926225061417465), ('C0186', 0.9866806007577166)]"
C0006,"[('C0187', 0.9517660052079885), ('C0117', 0.9424974729217765), ('C0168', 0.9402821345983643)]"
C0007,"[('C0146', 0.9973951578946069), ('C0115', 0.9756609152282073), ('C0050', 0.9716235180099922)]"
C0008,"[('C0113', 0.9896572363853194), ('C0136', 0.9868513051678585), ('C0195', 0.9817302587020962)]"
C0009,"[('C0150', 0.9974912743459965), ('C0061', 0.9696430032427632), ('C0198', 0.9580950768613752)]"
C0010,"[('C0176', 0.9788396644427603), ('C0144', 0.9701426383755481), ('C0111', 0.9680135041742957)]"
C0011,"[('C0139', 0.9912275180493367), ('C0064', 0.9865175908919533), ('C0024', 0.9829585727468224)]"
C0012,"[('C0182', 0.9916958094005028), ('C0163', 0.9866805822927809), ('C0124', 0.9772795094987956)]"
C0013,"[('C0099', 0.9845345921152222), ('C0145', 0.9770032411433635), ('C0200', 0.959475232404084)]"
C0014,"[('C0097', 0.9978978523383679), ('C0025', 0.957547079385129), ('C0110', 0.954248594897379)]"
C0015,"[('C0131', 0.974579470951372), ('C0085', 0.9477459255008409), ('C0078', 0.9127225172935152)]"
C0016,"[('C0040', 0.9995629814072501), ('C0042', 0.9405168113867571), ('C0107', 0.8838481346127531)]"
C0017,"[('C0004', 0.9812605794346421), ('C0075', 0.970630901985054), ('C0169', 0.9670679047898024)]"
C0018,"[('C0153', 0.9814139715922638), ('C0057', 0.9785029361802419), ('C0101', 0.96964506303131)]"
C0019,"[('C0073', 0.9859197013652036), ('C0027', 0.9761849281791947), ('C0036', 0.9547246372109061)]"
C0020,"[('C0130', 0.9977582822135534), ('C0140', 0.9808410288130012), ('C0186', 0.9696192795565867)]"
